,smiles,ESOL,group
79,CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,-3.4930000000000003,training
80,COP(=S)(OC)SCC(=O)N(C)C=O,-1.995,training
81,Cc1ncnc2nccnc12,-0.466,training
82,NC(N)=S,0.32,training
83,Cc1ccc(C)cc1,-2.77,training
84,CCc1ccccc1CC,-3.28,training
85,ClC(Cl)(Cl)C(Cl)(Cl)Cl,-3.67,training
88,CC1CCC(C(C)C)C(=O)C1,-2.35,training
89,CCN1c2cc(Cl)ccc2NC(=O)c2cccnc21,-5.36,training
90,O=[N+]([O-])c1cccc(Cl)c1Cl,-3.48,training
92,c1ccc2c(c1)-c1cccc3cccc-2c13,-6.0,training
93,CCCOC(C)C,-1.34,training
95,CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,-4.07,training
96,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,-5.64,training
97,Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2)c1,-7.25,training
100,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(C(=O)CO)CCC12,-3.45,training
101,Clc1c(Cl)c(Cl)c2nccnc2c1Cl,-5.43,training
102,OC1COC(O)C(O)C1O,0.39,training
103,ClCCl,-0.63,training
104,CCc1cccc2ccccc12,-4.17,training
107,Cc1c[nH]c(=O)[nH]c1=O,-1.506,training
108,CC(C)C,-2.55,training
110,N#Cc1cc(I)c(O)c(I)c1,-3.61,training
111,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,-4.7,training
112,CCCCC,-3.18,training
113,Oc1ccccc1,0.0,training
114,Nc1ccc2cc3ccccc3cc2c1,-5.17,training
116,c1ccc2cnccc2c1,-1.45,training
117,COP(=S)(OC)SCC(=O)N(c1ccc(Cl)cc1)C(C)C,-4.4319999999999995,training
118,CCCCCCc1ccccc1,-5.21,training
121,CC(C)C(C)C(C)C,-4.8,training
122,Clc1cc(Cl)c(Cl)c(Cl)c1Cl,-5.65,training
123,O=[N+]([O-])c1cccc(O)c1,-1.01,training
124,C=CCCCCCCCC,-5.51,training
126,CCCCc1c(C)nc(N(C)C)nc1O,-2.24,training
127,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1ccc(F)c(Oc2ccccc2)c1,-7.3370000000000015,training
128,c1ccncc1,0.76,training
129,CCCCCCCBr,-4.43,training
130,Cc1ccncc1C,0.36,training
131,CC12CCC(=O)C=C1CCC1C3CCC(O)(C(=O)CO)C3(C)CC(O)C12F,-3.43,training
132,CCSCc1ccccc1OC(=O)NC,-2.09,training
133,CCOC(=O)CC(=O)OCC,-0.82,training
135,c1ccc2c(c1)CCC2,-3.04,training
136,CC(C)(C)c1ccc(O)cc1,-2.41,training
138,Clc1cccc(I)c1,-3.55,training
140,C/C=C/CC,-2.54,training
141,Cc1cccc(C)n1,0.45,training
142,ClC=C(Cl)Cl,-1.96,training
143,Nc1cccc2ccccc12,-1.92,training
144,Cc1cccc(C)c1,-2.82,training
145,Oc1ncc2nccnc2n1,-1.9469999999999998,training
146,CO,1.57,training
147,CCC(C)=O,0.52,training
149,Nc1ncnc2c1ccn2C1OC(CO)C(O)C1O,-1.95,training
150,Oc1cccc(O)c1,0.81,training
153,C=CC=C,-1.87,training
154,CCCOC(C)=O,-0.72,training
155,Oc1ccc2c(c1)CCCC2,-1.99,training
156,NC(=O)CCl,-0.02,training
160,Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc2ccccc2C)cc1,-6.01,training
161,CCCCCC=O,-1.3,training
162,CCCCOC(=O)c1ccc(N)cc1,-3.082,training
163,Cc1ccc2c(c1)Oc1ncc(N)cc1C(=O)N2C,-3.043,training
164,CC(C)=CCC/C(C)=C\CO,-2.46,training
165,Clc1ccc(-c2ccccc2Cl)cc1,-5.28,training
166,CCCCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-6.523,training
167,CC[N+](=O)[O-],-0.22,training
168,C=C(C)CN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-6.124,training
170,CCCC(C)(COC(N)=O)COC(N)=O,-1.807,training
171,CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,-4.65,training
173,CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,-1.13,training
174,CCCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-6.301,training
176,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,-2.39,training
177,CCCCC(=O)CCCC,-2.58,training
178,CCC1(c2ccccc2)CCC(=O)NC1=O,-2.3369999999999997,training
180,CCOc1ccc(C(C)(C)COCc2cccc(Oc3ccccc3)c2)cc1,-8.6,training
181,Cc1ccccc1-n1c(C)nc2ccccc2c1=O,-2.925,training
182,N#CCCl,-0.092,training
184,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-5.66,training
185,c1ccnnc1,1.1,training
186,Clc1cc(Cl)c(Cl)c(Cl)c1,-4.63,training
187,CC1COC2CC3(C)C(CC4C5C=C6CC(O)CCC6(C)CC5CCC43C)OC2C1,-7.32,training
188,Nc1ccccc1O,-0.72,training
189,CCCCCCCCC(=O)OCC,-3.8,training
191,CNC(=O)Oc1ccccc1OC(C)C,-2.05,training
192,CCC(C)Cl,-1.96,training
193,Oc1ccc2ccccc2c1,-2.28,training
194,CC(C)Oc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl,-5.6960000000000015,training
195,C#CCCCC,-2.36,training
198,CC(C)OC(C)C,-1.1,training
199,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,-3.094,training
200,CNN,1.34,training
201,C#CC,-0.41,training
202,CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,-4.862,training
203,CCNP(=S)(OC)OC(C)=CC(=O)OC(C)C,-3.408,training
204,C=CC=O,0.57,training
205,O=c1[nH]cnc2nc[nH]c12,-2.296,training
206,Oc1ccc2ncccc2c1,-2.16,training
208,CCCCl,-1.47,training
209,CCOC(C)=O,-0.04,training
210,CCCC(C)(C)C,-4.36,training
211,Cc1cc(C)c(C)c(C)c1C,-4.0,training
212,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,-3.8960000000000004,training
214,Cc1cccnc1C,0.38,training
216,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,-5.7360000000000015,training
217,COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,-3.571,training
218,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,-8.804,training
219,Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],-2.82,training
220,Brc1ccc2ccccc2c1,-4.4,training
222,COc1cnc2ncncc2n1,-1.139,training
223,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,-3.19,training
225,C=CC(=C)C,-2.03,training
226,C=CC(C)(O)CCC=C(C)C,-1.99,training
227,COP(=S)(OC)Oc1ccc(SC)c(C)c1,-4.57,training
228,OC1CCCCC1,-0.44,training
229,C=CCC1(C)C(=O)NC(=O)NC1=O,-1.16,training
230,Cc1ccc(-c2ccccc2)cc1,-4.62,training
231,CCNc1nc(Cl)nc(NC(C)C)n1,-3.85,training
233,CCCC(=O)CCC,-1.3,training
234,CC(=O)C(C)(C)C,-0.72,training
235,Oc1ccc(Cl)cc1,-0.7,training
236,O=C1CCCCC1,-0.6,training
237,Cc1cccc(N)c1,-0.85,training
239,CNc1cnn(-c2cccc(C(F)(F)F)c2)c(=O)c1Cl,-4.046,training
240,CCCCCCCCC(C)=O,-3.3,training
242,CCOC(=O)c1ccc(N)cc1,-2.616,training
243,Clc1ccc(Cl)c(Cl)c1,-3.59,training
245,Oc1ccccc1O,0.62,training
248,Cc1ccccc1Br,-2.23,training
249,CCOC(N)=O,0.85,training
251,CC(C)C(O)C(C)C,-1.22,training
252,c1ccc2ccccc2c1,-3.6,training
254,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,-4.0969999999999995,training
256,CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,-6.34,training
257,COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,-6.89,training
258,O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(F)c(Cl)c1F,-7.28,training
260,CN(C)C(=O)Nc1ccc(Cl)cc1,-2.89,training
261,OC(Cn1cncn1)(c1ccc(F)cc1)c1ccccc1F,-3.37,training
262,CC(=O)OCC(=O)C1(O)C(OC(C)=O)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-4.13,training
263,CCCCBr,-2.37,training
265,CC(=O)CC(C)C,-0.74,training
266,CCSC(=O)N(CC)C1CCCCC1,-3.4,training
267,COc1ccc(Cl)cc1,-2.78,training
268,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,-8.402000000000001,training
269,C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O,-2.016,training
271,Ic1cccc2ccccc12,-4.55,training
272,CCS,-0.6,training
273,ClCC(Cl)Cl,-1.48,training
274,Cc1cc(OC(=O)N(C)C)n(-c2ccccc2)n1,-2.09,training
275,NC(=O)c1ccccc1O,-1.82,training
276,Cc1ccccc1[N+](=O)[O-],-2.33,training
277,CC(C)C1(C(C)C)C(=O)NC(=O)NC1=O,-2.766,training
278,CCc1ccccc1C,-3.21,training
279,CCCCCCCCl,-4.0,training
280,CCC1(CC)C(=O)NC(=O)NC1=O,-2.4,training
282,ClC(Cl)C(Cl)Cl,-1.74,training
284,Cc1ccc2c(ccc3ccccc32)c1,-5.84,training
285,CCCCOC(=O)c1ccccc1C(=O)OCCCC,-4.4,training
287,CCN(CC)C(=O)C(Cl)=CCOP(=O)(OC)OC,0.523,training
289,CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c1nc(Cl)cc(OC)n1,-4.5760000000000005,training
290,COc1ccc([N+](=O)[O-])cc1,-2.41,training
291,CCCCCCCl,-3.12,training
294,CCCCCCCCCCCCCCCCCCCCCCCCCC,-8.334,training
295,CCN1c2ccccc2N(C)C(=O)c2cccnc21,-3.324,training
297,Nc1ccc(S(N)(=O)=O)cc1,-1.34,training
298,CCCN(CCC)c1c([N+](=O)[O-])cc(C(C)C)cc1[N+](=O)[O-],-6.49,training
299,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-4.64,training
300,CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,-4.194,training
301,Clc1cccc(Cl)c1Cl,-4.0,training
302,ClC(Cl)(Cl)Cl,-2.31,training
304,OC1CCCCCCC1,-1.29,training
305,CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O,-3.9989999999999997,training
306,CCOc1ccc(NC(N)=O)cc1,-2.17,training
307,CC1CCC(C)CC1,-4.47,training
310,CC=Cc1ccc(OC)cc1,-3.13,training
311,CCCCCCCCCCCCCCCCO,-7.0,training
312,O=c1cc[nH]c(=O)[nH]1,-1.4880000000000002,training
313,Nc1ncnc2nc[nH]c12,-2.12,training
314,Clc1cc(Cl)c(-c2cccc(Cl)c2Cl)cc1Cl,-7.21,training
315,COc1ccc(C(O)(c2cncnc2)C2CC2)cc1,-2.596,training
316,c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13,-8.23,training
317,O=C(Nc1ccccc1)Nc1ccccc1,-3.15,training
318,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,-2.322,training
319,Clc1ccc(-c2cccc(Cl)c2Cl)cc1,-6.29,training
320,CC(C)c1ccc(NC(=O)N(C)C)cc1,-3.536,training
321,CCN(CC)C(=O)CSc1ccc(Cl)nn1,-1.716,training
322,CCC(C)(C)CO,-1.04,training
323,CCCOC(=O)CCC,-1.75,training
325,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,-4.2,training
326,C1CCCCCC1,-3.51,training
328,Cc1ccccc1C(C)C,-3.76,training
329,Nc1cccc(Cl)c1,-1.37,training
330,CC(C)CC(C)C,-4.26,training
331,c1ccc2c(c1)oc1ccccc12,-4.6,training
335,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,-3.11,training
336,OCC1OC(O)C(O)C(O)C1O,0.74,training
338,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,-3.5860000000000003,training
339,CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,-6.005,training
340,O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,-3.39,training
341,CCC1(C2=CCC3CCC2C3)C(=O)NC(=O)NC1=O,-2.696,training
342,CCCCCCCCCC(=O)OCC,-4.1,training
343,CN(C)C(=O)Nc1ccccc1,-1.6,training
344,CCCOCC,-0.66,training
347,ClC(Br)Br,-1.9,training
348,CCC(c1ccc(O)cc1)C(CC)c1ccc(O)cc1,-4.43,training
349,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,-3.37,training
352,CON(C)C(=O)Nc1ccc(Br)c(Cl)c1,-3.924,training
353,Cc1c2ccccc2c(C)c2ccccc12,-6.57,training
354,CCCCCC(=O)OC,-1.87,training
355,CN(C)C(=O)Nc1ccc(-n2nc(C(C)(C)C)oc2=O)c(Cl)c1,-4.328,training
356,CC(=O)Nc1ccc(F)cc1,-1.78,training
358,C1=CCCCC1,-2.59,training
359,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,-3.09,training
360,c1cncnc1,1.1,training
361,O=[N+]([O-])c1ccc(Cl)cc1,-2.92,training
362,CCC(=O)OC,-0.14,training
364,CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-4.77,training
365,CN1CC(O)N(c2nnc(C(C)(C)C)s2)C1=O,-1.8769999999999998,training
367,Ic1ccccc1,-3.01,training
368,Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,-3.78,training
369,COc1ccccc1OCC(O)COC(N)=O,-0.985,training
370,CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC,-4.19,training
371,Oc1cccc(Cl)c1Cl,-1.3,training
372,CCCC(=O)OC,-1.92,training
373,CCC(=O)Nc1ccc(Cl)c(Cl)c1,-3.0,training
374,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,-2.404,training
376,OCC(O)C1OC2OC(C(Cl)(Cl)Cl)OC2C1O,-1.84,training
377,Cc1ccc(N=CN(C)C=Nc2ccc(C)cc2C)c(C)c1,-5.47,training
379,C=CCCCCCC,-4.44,training
380,Cc1ccc(N)cc1,-1.21,training
381,Nc1nccs1,-0.36,training
382,CNC(=O)Oc1ccccc1,-1.8030000000000002,training
384,Oc1c2ccccc2cc2ccccc12,-4.73,training
385,Cc1ccc2cc3ccccc3cc2c1,-6.96,training
388,CCCCCCCC(C)O,-2.74,training
389,CN(C(=O)NC(C)(C)c1ccccc1)c1ccccc1,-3.35,training
391,N#Cc1cc(Br)c(O)c(Br)c1,-3.33,training
392,Clc1ccc(-c2ccccc2)cc1Cl,-6.39,training
393,CN(C(=O)COc1nc2ccccc2s1)c1ccccc1,-4.873,training
394,Oc1cccc2ncccc12,-2.54,training
396,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,-3.81,training
397,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-4.28,training
398,ClCBr,-0.89,training
399,CCC1(CC)C(=O)NC(=O)N(C)C1=O,-2.23,training
401,NC(=O)NCc1ccccc1,-0.95,training
403,CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-3.592,training
405,CS(=O)(=O)c1ccc(C(O)C(CO)NC(=O)C(Cl)Cl)cc1,-2.154,training
406,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,-3.36,training
407,CC(=O)Nc1nnc(S(N)(=O)=O)s1,-2.36,training
408,O=[N+]([O-])c1ccc(O)cc1,-0.74,training
409,ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl,-6.307,training
410,C1CCOC1,0.49,training
412,Clc1cccc(-c2cccc(Cl)c2Cl)c1Cl,-7.28,training
413,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,-3.81,training
414,Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-],-3.0,training
416,CCN(CC)c1nc(Cl)nc(N(CC)CC)n1,-4.4110000000000005,training
417,O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)C(Cl)Cl,-5.4,training
418,Brc1ccc(Br)c(Br)c1,-4.5,training
420,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,-2.356,training
421,Cc1ccc(C(C)C)cc1O,-2.08,training
422,O=C1CSC(=S)N1,-1.77,training
423,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,-3.083,training
426,C1CCCCC1,-3.1,training
427,ClC1=C(Cl)C(Cl)(C2(Cl)C(Cl)=C(Cl)C(Cl)=C2Cl)C(Cl)=C1Cl,-7.278,training
428,Cc1cc(Cl)ccc1N=CN(C)C,-2.86,training
429,CC12CCc3c(ccc4cc(O)ccc34)C1CCC2=O,-5.24,training
430,CCCCCCCCO,-2.39,training
431,CCSCC,-1.34,training
433,CCC(C)(C)Cl,-2.51,training
434,ClCCBr,-1.32,training
435,Nc1ccc([N+](=O)[O-])cc1,-2.37,training
436,OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,-0.244,training
437,CCN1C(=O)c2cccnc2N(CC)c2ncccc21,-2.86,training
438,Clc1ccccc1,-2.38,training
439,C=CCCCCCCC,-5.05,training
440,Brc1ccc(I)cc1,-4.56,training
441,CCC(C)(O)CC,-0.36,training
442,CCCCCc1ccccc1,-4.64,training
443,NC(=O)NC1NC(=O)NC1=O,-1.6,training
444,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12,-4.5710000000000015,training
445,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,-7.2,training
446,CC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-5.184,training
449,CCCCC(C)O,-0.89,training
451,CCOC(=O)c1cncn1C(C)c1ccccc1,-4.735,training
452,Oc1ccc(Cl)c(Cl)c1,-1.25,training
453,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,-8.017000000000001,training
455,CCCCCO,-0.6,training
456,CCN(CC)c1ccccc1,-3.03,training
458,N#CCCCl,-0.29,training
460,Clc1ccccc1I,-3.54,training
461,c1ccc2[nH]nnc2c1,-0.78,training
462,CNC(=O)Oc1cccc2c1OC(C)(C)C2,-2.8,training
463,Cc1cccc(C)c1O,-1.29,training
464,CC(C)C(C)O,-0.18,training
465,OC(c1ccccc1)c1ccccc1,-2.55,training
466,CCCCCCCCCC(=O)OC,-4.69,training
467,COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1Cl,-4.31,training
468,CC(C)CBr,-2.43,training
470,Cc1nc(N(C)C)nc(OC(=O)N(C)C)c1C,-1.95,training
471,CCCCCCBr,-3.81,training
472,CCCC(C)C,-3.74,training
473,Cc1c(F)c(F)c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)c(F)c1F,-7.3210000000000015,training
474,CCc1cccc(C)c1N(C(=O)CCl)C(C)COC,-2.73,training
476,CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,-8.003,training
477,Nc1nc[nH]n1,0.522,training
478,BrC(Br)Br,-1.91,training
479,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,-0.22,training
481,OCc1ccccc1,-0.4,training
482,O=c1oc2ccccc2c(O)c1C1CCCc2ccccc21,-2.84,training
483,Oc1ccc(Br)cc1,-1.09,training
484,CC(C)Br,-1.59,training
485,CC(C)CC(C)(C)C,-4.74,training
486,O=[N+]([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,-2.89,training
487,CN1C(=O)CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc21,-3.7960000000000003,training
488,CCC,-1.94,training
489,Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],-1.989,training
490,Nc1cccc2nc3ccccc3cc12,-4.22,training
492,OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,-5.666,training
493,c1cc2c3c(cccc3c1)CC2,-4.63,training
494,Brc1ccc(Br)cc1,-4.07,training
495,Cn1c(=O)on(-c2ccc(Cl)c(Cl)c2)c1=O,-2.82,training
496,Oc1ccc(-c2ccccc2)cc1,-3.48,training
497,CC1=C(C(=O)Nc2ccccc2)CCCO1,-2.56,training
498,C=COCC,-0.85,training
499,C#CCC,-1.24,training
500,COc1ncnc2nccnc12,-1.11,training
501,CCCCC(C)(O)CC,-1.6,training
502,Clc1ccc(Cl)cc1,-3.27,training
503,CC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-4.47,training
504,CSCS(=O)CC(CO)NC(=O)C=Cc1c(C)[nH]c(=O)[nH]c1=O,-1.9809999999999999,training
505,Cc1c[nH]c2ccccc12,-2.42,training
506,COc1ncc2nccnc2n1,-1.11,training
507,CNC(=O)Oc1ccccc1C1OCCO1,-1.57,training
508,CC(C)CNC(=O)N1CCNC1=O,-2.15,training
509,CC#N,0.26,training
510,CCOC(=O)NCCOc1ccc(Oc2ccccc2)cc1,-4.7,training
511,CC(=O)N(c1onc(C)c1C)S(=O)c1ccc(N)cc1,-3.59,training
513,CCCCO,0.0,training
514,CC1CCCCC1NC(=O)Nc1ccccc1,-4.11,training
515,Clc1cc(Cl)cc(Cl)c1,-4.48,training
518,O=Cc1ccc2c(c1)OCO2,-1.63,training
519,C=C(C)C,-2.33,training
520,O=Cc1ccccc1,-1.19,training
521,C=C(C)C(=C)C,-2.4,training
522,CCOC(=O)CCN(SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2)C(C)C,-4.71,training
523,CN1C(=O)c2cccnc2Oc2ccccc21,-3.6719999999999997,training
524,c1ccc2c(c1)Cc1ccccc1-2,-5.0,training
525,CC1CCCCC1,-3.85,training
526,N=C(N)NS(=O)(=O)c1ccc(N)cc1,-1.99,training
528,CC1CCCO1,0.11,training
530,OCc1ccccc1OC1OC(CO)C(O)C(O)C1O,-0.85,training
532,CCNc1nc(NC(C)C)nc(SC)n1,-3.04,training
533,CCCO,0.62,training
534,CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-3.8169999999999997,training
535,CCCC(C)O,-0.29,training
536,O=C(c1ccccc1)C(O)c1ccccc1,-2.85,training
537,Cc1ccc(O)c(C)c1,-1.19,training
538,O=[N+]([O-])c1cccc(Cl)c1,-2.77,training
539,Cc1c(N)c(=O)n(-c2ccccc2)n1C,-0.624,training
540,Clc1ccc(-c2cc(Cl)ccc2Cl)c(Cl)c1,-6.57,training
541,ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,-4.92,training
543,CCC(C)CCO,-0.71,training
545,C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C,-5.5070000000000014,training
546,CCCCI,-2.96,training
