,smiles,Mutagenicity,group
31,COC(=O)C(=Cc1ccc([N+](=O)[O-])o1)[N+](=O)[O-],1,training
32,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,1,training
34,O=[N+]([O-])c1ccc2c3c4c(cccc4c4ccccc4c13)C(O)C2O,1,training
35,O=C(O)C=Cc1cccc([N+](=O)[O-])c1,1,training
36,O=[N+]([O-])c1ccc(Nc2ccccc2O)c([N+](=O)[O-])c1,1,training
37,O=[N+]([O-])c1ccc2c(c1)c([N+](=O)[O-])cc1ccccc12,1,training
39,C=Cc1ccc([N+](=O)[O-])cc1,1,training
40,N=C(O)C(=Cc1ccc([N+](=O)[O-])o1)c1ccco1,1,training
41,O=[N+]([O-])c1cc(C(O)=Nc2ccccc2Br)cs1,1,training
45,O=[N+]([O-])c1cc(CCl)cc([N+](=O)[O-])c1,1,training
46,O=[N+]([O-])c1cnc(CO)n1CCO,1,training
47,CC(O)=Nc1ccc(C=CC(=O)c2ccccc2)cc1,1,training
49,O=[N+]([O-])c1ccc2c(c1)CCc1cc3c(cc1-2)CCCC3,1,training
50,O=[N+]([O-])c1cccc2cccnc12,1,training
52,O=[N+]([O-])c1ccc(C=Cc2ccc(Cl)cc2)cc1,1,training
53,Nc1ccc(Nc2ccc([N+](=O)[O-])cc2)cc1,1,training
54,O=[N+]([O-])c1ccc(C=NN=C(O)c2ccc(O)cc2)o1,1,training
59,O=[N+]([O-])c1ccc2ccc3c([N+](=O)[O-])ccc4ccc1c2c43,1,training
62,O=[N+]([O-])c1ccc(N=Nc2ccc(N(CCO)CCO)cc2)c([N+](=O)[O-])c1,1,training
63,O=[N+]([O-])c1ccccc1[N+](=O)[O-],1,training
64,CC(=O)c1oc([N+](=O)[O-])c(-c2ccccc2)c1-c1ccccc1,1,training
67,O=[N+]([O-])c1cc2c3c(ccc4cccc(c43)CC2)c1,1,training
68,O=Nc1ccc2ccc3ccc([N+](=O)[O-])c4ccc1c2c34,1,training
69,O=C(O)C=Cc1ccc([N+](=O)[O-])o1,1,training
71,COC(O)=Nc1nc2ccc(C(=NO)c3ccc(F)cc3)cc2[nH]1,1,training
72,Nc1cc([N+](=O)[O-])ccc1C(=O)O,1,training
73,CN(C)CCCN=c1c2ccccc2[nH]c2c(F)ccc([N+](=O)[O-])c12,1,training
74,O=CN(O)c1ccc([N+](=O)[O-])cc1,1,training
75,CC(C)NCC1CCc2cc(CO)c([N+](=O)[O-])cc2N1,1,training
76,O=C(Nc1ccc(Cl)cc1)c1csc([N+](=O)[O-])c1,1,training
77,O=[N+]([O-])c1cc([N+](=O)[O-])c2c([N+](=O)[O-])cc([N+](=O)[O-])cc2c1,1,training
78,CC(=O)Oc1cc([N+](=O)[O-])c2ccc3cccc4ccc1c2c43,1,training
79,O=Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-],1,training
81,O=[N+]([O-])c1cccc(O)c1[N+](=O)[O-],1,training
83,O=C1OC(=O)c2cc([N+](=O)[O-])ccc21,1,training
84,O=[N+]([O-])c1ccc(C=CC(O)=NN=Cc2ccc([N+](=O)[O-])o2)o1,1,training
85,O=[N+]([O-])c1ccc2snc(Cl)c2c1,1,training
86,O=[N+]([O-])c1cccc(CCl)c1,1,training
87,O=[N+]([O-])c1ccc2c(CCO)c[nH]c2c1,1,training
89,O=[N+]([O-])c1ccc(CCl)cc1,1,training
92,O=C(Nc1ccc([N+](=O)[O-])cc1)c1csc([N+](=O)[O-])c1,1,training
93,O=[N+]([O-])c1cc2ccc3cc4ccccc4c4ccc(c1)c2c34,1,training
94,Cc1cc([N+](=O)[O-])ccc1N,1,training
95,O=[N+]([O-])c1cc2cc(N(CCCl)CCCl)ccc2o1,1,training
96,CN(C)N=Nc1ccc([N+](=O)[O-])cc1,1,training
97,CCc1ccc2c(c1[N+](=O)[O-])C(=O)c1ccccc1C2=O,1,training
100,Cc1c([N+](=O)[O-])cc([N+](=O)[O-])c(N)c1[N+](=O)[O-],1,training
101,O=[N+]([O-])c1cc2cccc3c4ccccc4c4cccc1c4c23,1,training
102,O=[N+]([O-])c1cc2c3c(c1)CCc1c4c(cc(c1-3)CC2)CCCC4,1,training
103,O=[N+]([O-])c1ccc2[nH]ncc2c1,1,training
104,O=NN(c1ccc([N+](=O)[O-])cc1)C1OC(CO)C(O)C1O,1,training
105,O=[N+]([O-])c1ccc2ccc3ccc([N+](=O)[O-])c4ccc1c2c34,1,training
106,O=[N+]([O-])c1ccc2c3cccc4ccc([N+](=O)[O-])c(c5cccc1c25)c43,1,training
107,COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,1,training
108,CN(c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-])[N+](=O)[O-],1,training
112,O=[N+]([O-])c1ccccc1SSC(Cl)=C(Cl)C(F)(F)F,1,training
113,COc1ccc(C(O)=Nc2ccccc2)cc1[N+](=O)[O-],1,training
114,CN(C)CCCN=c1c2ccccc2[nH]c2c(N(C)C)ccc([N+](=O)[O-])c12,1,training
115,O=[N+]([O-])c1cc2ccccc2c2ccccc12,1,training
116,O=[N+]([O-])c1ccc2ccc3c([N+](=O)[O-])cccc3c2c1,1,training
117,CCC(Cl)=[N+]([O-])O,1,training
118,O=[N+]([O-])c1cc(C(O)=Nc2cccc(Cl)c2)cs1,1,training
119,O=[N+]([O-])c1c(O)ccc2ccccc12,1,training
120,O=[N+]([O-])c1ccc2cc3c(cc2c1)C=CC(O)C3O,1,training
121,Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],1,training
122,CC(=O)OCc1ccc([N+](=O)[O-])cc1,1,training
123,O=C1c2ccccc2-c2ccc([N+](=O)[O-])cc21,1,training
124,O=[N+]([O-])c1ccc(OCC2CO2)cc1,1,training
125,N#Cc1cccc([N+](=O)[O-])c1,1,training
126,COP(=O)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,1,training
127,O=[N+]([O-])c1ccc2c([N+](=O)[O-])cc3ccccc3c2c1,1,training
128,[O-][N+](O)=C=Cc1ccccc1,1,training
129,COc1nsc2cc([N+](=O)[O-])ccc12,1,training
130,O=[N+]([O-])c1ccc2c(Cl)nsc2c1,1,training
132,O=c1c2[nH]c3ccccc3c2nnn1N=Cc1ccc([N+](=O)[O-])cc1,1,training
133,O=C(O)c1cc2c(c3c1c([N+](=O)[O-])cc1c(O)cccc13)OCO2,1,training
134,C=COc1ccc([N+](=O)[O-])cc1,1,training
135,N#Cc1cccc(C=Cc2ccc([N+](=O)[O-])cc2)c1,1,training
136,O=[N+]([O-])c1cc2c3c(c1)CCc1cccc(c1-3)CC2,1,training
137,O=[N+]([O-])c1cc2ccc(N(CCCl)CCCl)cc2o1,1,training
138,O=[N+]([O-])c1ccc2c3c(cccc13)-c1cc3ccccc3cc1-2,1,training
139,Cn1c2ccccc2c2cc([N+](=O)[O-])ccc21,1,training
141,CC(=O)Oc1c(OC(C)=O)c2c([N+](=O)[O-])ccc3c4ccccc4c4cccc1c4c23,1,training
142,[O-][N+](O)=CCl,1,training
144,CCC(=O)OCc1ccc([N+](=O)[O-])cc1,1,training
147,O=NN(c1ccc([N+](=O)[O-])cc1)C1OCC(O)C(O)C1O,1,training
148,N=C(O)c1csc([N+](=O)[O-])c1,1,training
150,O=[N+]([O-])c1ccc(N=C(O)c2cc(Cl)ccc2O)c(Cl)c1,1,training
151,CC(C)(C)OC(O)=NN=Cc1c[n+]([O-])c2ccccc2[n+]1[O-],1,training
153,O=C(O)CC=[N+]([O-])O,1,training
154,Cc1cn2c([N+](=O)[O-])c(-c3ccc([N+](=O)[O-])cc3)nc2s1,1,training
155,O=CC=Cc1ccc([N+](=O)[O-])cc1,1,training
156,O=[N+]([O-])c1ccc2ccc3c4ccccc4cc4ccc1c2c43,1,training
158,CC(C)CN=C(O)C=Cc1ccc([N+](=O)[O-])o1,1,training
159,O=[N+]([O-])c1ccc(C=Cc2ccccc2)cc1,1,training
160,O=[N+]([O-])c1cccc2cnsc12,1,training
161,N#[N+]c1ccc([N+](=O)[O-])cc1,1,training
162,Cc1ccc([N+](=O)[O-])c(C)c1[N+](=O)[O-],1,training
163,O=Cc1ccc([N+](=O)[O-])cc1,1,training
164,O=[N+]([O-])c1ccc2oc3ccccc3c2c1,1,training
165,O=[N+]([O-])c1cc2c3ccccc3ccc2c2ccccc12,1,training
166,N#CSc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],1,training
167,NNc1ccc([N+](=O)[O-])cc1,1,training
168,CN(C)CCCN=c1c2ccccc2[nH]c2cc([N+](=O)[O-])ccc12,1,training
169,O=[N+]([O-])c1ccc(O)cc1[N+](=O)[O-],1,training
171,O=[N+]([O-])c1ccc(Cl)c(Cl)c1,1,training
172,Cn1c([N+](=O)[O-])nc2ncc(-c3ccccc3)cc21,1,training
173,COc1ccc(N(CCCl)CCCl)c2oc([N+](=O)[O-])cc12,1,training
174,CCCCN(CCO[N+](=O)[O-])[N+](=O)[O-],1,training
175,O=C(O)c1ccccc1[N+](=O)[O-],1,training
176,O=[N+]([O-])c1cc2cccc3c4c(c5cccc1c5c23)CCCC4,1,training
177,CC(C)OC(=O)C=Cc1ccc([N+](=O)[O-])o1,1,training
178,O=[N+]([O-])c1ccc2ccc3ccc(O)c4ccc1c2c34,1,training
179,O=[N+]([O-])c1ccc(Nc2ccc(O)cc2)c([N+](=O)[O-])c1,1,training
180,Cc1ccc2ccccc2c1[N+](=O)[O-],1,training
182,O=C(O)c1ccc([N+](=O)[O-])cc1,1,training
184,COc1cccc(C=Cc2ccc([N+](=O)[O-])cc2)c1,1,training
187,Nc1ccc(Cc2ccc(N)cc2[N+](=O)[O-])c([N+](=O)[O-])c1,1,training
188,Nc1ccc2c(c1)Cc1cc([N+](=O)[O-])ccc1-2,1,training
189,O=[N+]([O-])C1=Cc2c3ccc4ccccc4c3cc3cccc1c23,1,training
190,Nc1ccc2[nH]c3ccccc3c2c1[N+](=O)[O-],1,training
191,Cc1cn2c(N=O)c(-c3ccc([N+](=O)[O-])cc3)nc2s1,1,training
192,O=[N+]([O-])C(Br)(Br)Br,1,training
193,O=[N+]([O-])c1ccc(-c2nc(N(CCO)CCO)c3ccccc3n2)s1,1,training
196,O=[N+]([O-])c1ccc2ccc3cc4ccccc4c4ccc1c2c34,1,training
197,O=[N+]([O-])c1ccc2c(c1)[nH]c1ccccc12,1,training
198,Nc1c(Cl)cc([N+](=O)[O-])cc1Cl,1,training
199,O=[N+]([O-])c1ccc2ccc3c4c(cc5ccc1c2c53)C=CCC4,1,training
200,O=[N+]([O-])c1cc([N+](=O)[O-])c2c3c(c4cccc5ccc1c2c54)CCCC3,1,training
201,O=C(O)Cc1ccc([N+](=O)[O-])cc1,1,training
202,Cc1c([N+](=O)[O-])ccc2ccccc12,1,training
203,N=C(O)c1cc(N2CC2)c([N+](=O)[O-])cc1[N+](=O)[O-],1,training
204,O=[N+]([O-])c1ccc2c(c1)Oc1ccc([N+](=O)[O-])cc1O2,1,training
205,O=[N+]([O-])c1cccc(S(=O)(=O)OCC2CO2)c1,1,training
206,O=C1N=C(O)CN1N=Cc1ccc([N+](=O)[O-])o1,1,training
208,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],1,training
209,Cc1ccc(C=Cc2ccc([N+](=O)[O-])cc2)cc1,1,training
210,O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,1,training
211,O=[N+]([O-])c1ccc2[nH]c3ccc([N+](=O)[O-])cc3c2c1,1,training
212,O=[N+]([O-])c1cc2cccc3ccc4cccc1c4c32,1,training
213,COc1ccc([N+](=O)[O-])cc1,1,training
214,O=[N+]([O-])c1ccc2nc3c([N+](=O)[O-])cccc3nc2c1,1,training
217,Nc1c(Br)cc([N+](=O)[O-])cc1[N+](=O)[O-],1,training
218,[O-][N+](O)=C(Cl)Cl,1,training
220,COc1ccc2oc([N+](=O)[O-])cc2c1N(CCCl)CCCl,1,training
224,O=[N+]([O-])c1ccc2nc3cc([N+](=O)[O-])ccc3nc2c1,1,training
225,Nc1ncnc2c1ncn2-c1ccc([N+](=O)[O-])cc1,1,training
226,Cn1c([N+](=O)[O-])nc2c3cccnc3ccc21,1,training
228,O=[N+]([O-])c1ccc(Br)cc1,1,training
230,Cc1cc(N)c(C)c([N+](=O)[O-])c1N,1,training
232,O=[N+]([O-])c1ccc2c(c1)Cc1cc([N+](=O)[O-])ccc1-2,1,training
233,Cc1c([N+](=O)[O-])cc(N)cc1[N+](=O)[O-],1,training
234,O=[N+]([O-])c1ccc2nc3ccc([N+](=O)[O-])cc3nc2c1,1,training
235,O=Cc1cccc([N+](=O)[O-])c1,1,training
236,O=[N+]([O-])c1ccc2c(c1)-c1cc3ccccc3c3cccc-2c13,1,training
238,O=[N+]([O-])c1cccc2c1-c1cccc3c([N+](=O)[O-])ccc-2c13,1,training
239,CCOC(=O)C=Cc1ccc([N+](=O)[O-])o1,1,training
241,O=C(OCc1ccc([N+](=O)[O-])cc1)c1ccccc1,1,training
242,O=c1c(=O)c2c([N+](=O)[O-])ccc3ccc4cccc1c4c32,1,training
243,Cn1cc2ccc([N+](=O)[O-])cc2n1,1,training
244,O=[N+]([O-])c1ccc(C=NN2CCN=C2O)o1,1,training
245,O=[N+]([O-])c1ccc(NO)cc1,1,training
246,COc1cc(N)c([N+](=O)[O-])cc1N,1,training
247,CC(O)=Nc1ccc(Nc2ccc([N+](=O)[O-])cc2)cc1,1,training
248,O=[N+]([O-])c1ccc(Oc2ccc(N=C=S)cc2)cc1,1,training
249,O=[N+]([O-])c1ccc2c3c(c4c([N+](=O)[O-])ccc5ccc1c2c54)CCCC3,1,training
250,Nc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,1,training
251,O=[N+]([O-])c1ccc2c(c1)Oc1cc([N+](=O)[O-])ccc1O2,1,training
252,O=C(O)c1oc([N+](=O)[O-])c(-c2ccccc2)c1-c1ccccc1,1,training
253,Nc1[nH]c(-c2ccc([N+](=O)[O-])cc2)nc2ncnc1-2,1,training
254,O=[N+]([O-])c1c2ccccc2cc2ccccc12,1,training
256,O=[N+]([O-])c1cccc2c1-c1cccc3cccc-2c13,1,training
258,O=[N+]([O-])c1cccc2c1cc([N+](=O)[O-])c1cccc([N+](=O)[O-])c12,1,training
259,CN(C(=O)c1csc([N+](=O)[O-])c1)c1ccccc1,1,training
260,Nc1ccc([N+](=O)[O-])cc1N,1,training
261,Cc1ccc([N+](=O)[O-])cc1N=O,1,training
262,COc1ccc(C=Cc2ccc([N+](=O)[O-])cc2)cc1,1,training
263,Cc1cc([N+](=O)[O-])c(C)c2c1[nH]c1ccccc12,1,training
264,O=C(O)c1ccc([N+](=O)[O-])c([N+](=O)[O-])c1,1,training
265,O=[N+]([O-])c1ccc2ccc3cccc4c3c2c1C1OC41,1,training
266,O=[N+]([O-])c1ccc(-c2ccccc2)c([N+](=O)[O-])c1,1,training
267,CCCCCCN(N=O)C(=N)N[N+](=O)[O-],1,training
268,O=[N+]([O-])c1ccc(-c2ccc([N+](=O)[O-])cc2)cc1,1,training
269,O=[N+]([O-])C1=Cc2cccc3cccc1c23,1,training
270,O=[N+]([O-])C1=Cc2c3c1cccc3cc1ccc3ccccc3c21,1,training
271,N=C(O)C=Cc1ccc([N+](=O)[O-])o1,1,training
272,O=[N+]([O-])c1ccc2oc3ccc([N+](=O)[O-])cc3c2c1,1,training
273,Nc1nc(-c2ccc([N+](=O)[O-])cc2)nc2c1ncn2C1CC(O)C(CO)O1,1,training
274,Nc1ccc(Sc2ccc([N+](=O)[O-])cc2)cc1,1,training
275,O=[N+]([O-])c1ccc(-c2nc3n(c2[N+](=O)[O-])CCS3)cc1,1,training
276,O=C(O)c1ccc([N+](=O)[O-])o1,1,training
277,O=[N+]([O-])c1ccc2cccc3c2c1C=C3,1,training
279,O=[N+]([O-])c1ccc2c(c1)NCC2,1,training
280,O=[N+]([O-])c1nc2ccccc2[nH]1,1,training
281,COC(=O)c1cc2c(c3c1c([N+](=O)[O-])cc1c(OC)cccc13)OCO2,1,training
282,Cc1ccc([N+](=O)[O-])c2c(=NCCCN(C)C)c3ccccc3[nH]c12,1,training
283,O=[N+]([O-])c1cc2c(ccc3ccccc32)c2c1C=CC(O)C2O,1,training
284,O=[N+]([O-])c1ccc(Cl)cc1Cl,1,training
285,O=[N+]([O-])c1cc(Cl)ccc1Cl,1,training
287,O=[N+]([O-])c1ccc2ccc3cc4c(c5ccc1c2c35)C=CCC4,1,training
289,O=[N+]([O-])c1ccc2c(c1)oc1ccc([N+](=O)[O-])cc12,1,training
290,CCN(CCO[N+](=O)[O-])[N+](=O)[O-],1,training
291,O=C(O)c1cc2c(c3c1c([N+](=O)[O-])cc1ccccc13)OCO2,1,training
292,O=[N+]([O-])c1ccc(C=Nn2cccn2)o1,1,training
294,CCCOC(=O)C=Cc1ccc([N+](=O)[O-])o1,1,training
295,O=[N+]([O-])c1ccc2c(c1)-c1cccc3cccc-2c13,1,training
296,Nc1cc([N+](=O)[O-])cc(Cl)c1O,1,training
297,N#CC(C#N)=Cc1ccc([N+](=O)[O-])o1,1,training
298,CCCCN=C(O)C=Cc1ccc([N+](=O)[O-])o1,1,training
299,CC(=O)c1ccc([N+](=O)[O-])cc1,1,training
300,Cc1cccc(N=C(O)c2csc([N+](=O)[O-])c2)c1,1,training
301,Nc1cc([N+](=O)[O-])ccc1O,1,training
302,O=C1c2cccc(S(=O)(=O)O)c2C(=O)c2cccc([N+](=O)[O-])c21,1,training
303,O=C(O)c1c[n+]([O-])c2ccccc2[n+]1[O-],1,training
304,O=[N+]([O-])c1ccc2ccccc2c1,1,training
305,O=[N+]([O-])c1cccc2c1ccc1ccccc12,1,training
306,Cc1ccc2c(c1[N+](=O)[O-])C(=O)c1ccccc1C2=O,1,training
307,Cc1cccc([N+](=O)[O-])c1[N+](=O)[O-],1,training
309,O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,1,training
311,O=[N+]([O-])c1ccc2c(O)nsc2c1,1,training
312,O=[N+]([O-])C1=Cc2cc3cc4ccccc4cc3c3cccc1c23,1,training
313,CC(=O)c1cccn1[N+](=O)[O-],1,training
314,Nc1ccc(-c2ccc([N+](=O)[O-])cc2N)c([N+](=O)[O-])c1,1,training
315,O=C(O)C=Cc1ccc([N+](=O)[O-])cc1,1,training
316,O=[N+]([O-])c1[nH]cnc1-c1ccccc1,1,training
318,O=[N+]([O-])c1ccc2c3c(cccc13)C=C2,1,training
319,O=c1oc2c([N+](=O)[O-])ccc3ccc4cccc1c4c32,1,training
321,Cn1c([N+](=O)[O-])nc2ccccc21,1,training
322,Cc1cc([N+](=O)[O-])c(C)c2c1[nH]c1ccc(O)cc12,1,training
323,Nc1ccc(-c2ccc(N)c([N+](=O)[O-])c2)cc1,1,training
324,O=[N+]([O-])c1ccc2c3c1ccc1cccc(c13)C(O)C2O,1,training
325,O=C(Cl)c1cccc([N+](=O)[O-])c1,1,training
326,O=C(Cl)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,1,training
327,O=[N+]([O-])c1ccc2ccc3cccc4c5ccccc5c1c2c34,1,training
328,O=C(Cl)c1ccc([N+](=O)[O-])cc1,1,training
329,O=[N+]([O-])c1ccc2ccc3c4c(cc5ccc1c2c53)CCC=C4,1,training
330,O=C(CBr)c1oc([N+](=O)[O-])c(Cl)c1Cl,1,training
331,O=[N+]([O-])c1ccccc1CCl,1,training
332,O=C(O)CNC(=O)c1ccc([N+](=O)[O-])cc1,1,training
333,Nc1cc2c(cc1[N+](=O)[O-])[nH]c1ccccc12,1,training
334,O=C1c2cc([N+](=O)[O-])cc([N+](=O)[O-])c2-c2c1cc([N+](=O)[O-])cc2[N+](=O)[O-],1,training
339,O=[N+]([O-])c1cc([N+](=O)[O-])c2ccccc2c1,1,training
340,CCCCOC(=O)C=Cc1ccc([N+](=O)[O-])o1,1,training
342,Nc1ccc([N+](=O)[O-])cc1,1,training
343,CC(=O)c1oc([N+](=O)[O-])c(Cl)c1Cl,1,training
345,Cc1ccccc1N=C(O)c1csc([N+](=O)[O-])c1,1,training
346,O=[N+]([O-])c1cc2cc3ccc4cccc5ccc(c2o1)c3c45,1,training
347,O=[N+]([O-])c1ccc2c(c1)sc1ccccc12,1,training
348,CC(O)=Nc1ccc(C=Nn2nnc3ccnc-3c2O)cc1,1,training
349,O=[N+]([O-])c1ccc(Sc2ccccc2)cc1,1,training
350,Cc1cc([N+](=O)[O-])c(C)c2c1[nH]c1ccc([N+](=O)[O-])cc12,1,training
352,O=[N+]([O-])c1ccc2c(ccc3ccccc32)c1,1,training
353,Nc1cccc([N+](=O)[O-])c1N,1,training
355,CN(C)CCCNc1c2ccccc2nc2c([N+](=O)[O-])cccc12,1,training
357,O=[N+]([O-])c1ccc2c3c(cccc13)CC2,1,training
358,CCCC(=O)OCc1ccc([N+](=O)[O-])cc1,1,training
359,CC(C)N=C(NC(C)C)OCc1ccc([N+](=O)[O-])cc1,1,training
360,C[N+](C)(C)CCNCCc1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1,1,training
361,O=[N+]([O-])c1ccc2ccc3cccc4ccc1c2c34,1,training
362,O=[N+]([O-])c1ccc2cc([N+](=O)[O-])c3ccc([N+](=O)[O-])cc3c2c1,1,training
363,CCN(CC)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2)cc1,1,training
364,O=[N+]([O-])c1ccc2c3ccccc3c3c([N+](=O)[O-])ccc4ccc1c2c43,1,training
366,COc1cc([N+](=O)[O-])ccc1N=C(C)O,1,training
368,CC(=O)c1c([N+](=O)[O-])cc([N+](=O)[O-])n1[N+](=O)[O-],1,training
369,Nc1cc([N+](=O)[O-])ccc1-c1ccc([N+](=O)[O-])cc1,1,training
370,O=[N+]([O-])c1ccc2ccc3c4c(ccc1c24)c1ccccc1[n+]3[O-],1,training
373,Cn1c2cccc(=[NH2+])c-2cc2ccccc21,1,training
374,O=[N+]([O-])c1ccc2cccc3c2c1-c1ccccc1-3,1,training
375,O=C(C=Cc1ccccc1)c1ccc([N+](=O)[O-])cc1,1,training
376,O=[N+]([O-])c1ccc(F)c([N+](=O)[O-])c1,1,training
377,COc1nsc2c([N+](=O)[O-])cccc12,1,training
378,CCCN=C(O)C=Cc1ccc([N+](=O)[O-])o1,1,training
379,O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,1,training
380,CN(C)c1ccc(C=Cc2ccc([N+](=O)[O-])cc2)cc1,1,training
381,O=[N+]([O-])c1ccc2[nH]ccc2c1,1,training
382,COc1ccc(NC(=O)c2csc([N+](=O)[O-])c2)cc1,1,training
383,O=C(O)c1cc([N+](=O)[O-])ccc1[N+](=O)[O-],1,training
384,O=[N+]([O-])c1cccc2c1oc1ccccc12,1,training
385,O=[N+]([O-])c1ccc(OC2CO2)cc1,1,training
386,Nc1ccc(Cl)cc1[N+](=O)[O-],1,training
389,Nc1ccc2ccccc2c1N=Nc1ccc([N+](=O)[O-])cc1,1,training
390,O=[N+]([O-])c1ccc2ccc3c4c(cc5ccc1c2c53)CCCC4,1,training
391,CC(C)(C)CN=C(O)C=Cc1ccc([N+](=O)[O-])o1,1,training
392,O=[N+]([O-])c1ccc2c(ccc3c4ccccc4ccc23)c1,1,training
393,O=c1cc(-c2ccccc2)cc(-c2ccccc2)n1N=Cc1ccc([N+](=O)[O-])o1,1,training
394,O=C(C=Cc1ccc([N+](=O)[O-])cc1)c1ccccc1,1,training
395,Cc1c(N)cc(N)cc1[N+](=O)[O-],1,training
396,O=[N+]([O-])c1cccc2ccccc12,1,training
398,Nc1ccc(NCCO)c([N+](=O)[O-])c1,1,training
399,O=[N+]([O-])c1cc(N(CCO)CCO)ccc1NCCO,1,training
402,CCc1cccc(N=C(O)c2csc([N+](=O)[O-])c2)c1,1,training
403,O=[N+]([O-])c1cc2cccc3cccc(o1)c32,1,training
404,CN(Cc1ccc([N+](=O)[O-])cc1)N=O,1,training
405,CCCCC(CC)COC(=O)c1ccc(N(C)C)c([N+](=O)[O-])c1,1,training
406,Nc1c(C(=O)O)cc([N+](=O)[O-])c2c1C(=O)c1ccccc1C2=O,1,training
407,O=[N+]([O-])c1ccc(C2N=C(O)c3ccccc3N2)s1,1,training
408,Nc1ccc2c([nH]c3ccccc32)c1[N+](=O)[O-],1,training
409,Nc1nc(-c2ccc([N+](=O)[O-])cc2)nc2c1ncn2C1OC(CO)C(O)C1O,1,training
410,CN(C)CCCN=c1c2ccccc2[nH]c2cccc([N+](=O)[O-])c12,1,training
411,O=[N+]([O-])c1ccc2c(c1)CCc1ccccc1-2,1,training
412,O=[N+]([O-])c1ccc2ccc3ccccc3c2c1,1,training
413,CN(C)C(=O)C=Cc1ccc([N+](=O)[O-])o1,1,training
414,O=[N+]([O-])c1ccc2c(c1)-c1ccc([N+](=O)[O-])c3cccc-2c13,1,training
417,Cc1ccc(C)c([N+](=O)[O-])c1,1,training
418,O=[N+]([O-])c1ccc2c([N+](=O)[O-])cc3cccc([N+](=O)[O-])c3c2c1,1,training
419,CN(C)[N+](=O)[O-],1,training
420,O=[N+]([O-])c1ccc(CCO)cc1,1,training
423,O=[N+]([O-])c1cccc([N+](=O)[O-])c1,1,training
424,Nc1ncnc2c1nc(-c1ccc([N+](=O)[O-])cc1)n2-c1ccc([N+](=O)[O-])cc1,1,training
425,CC1CS(=O)(=O)CCN1N=Cc1ccc([N+](=O)[O-])o1,1,training
426,O=[N+]([O-])c1ccc2ccc3c4ccccc4[n+]([O-])c4ccc1c2c34,1,training
427,Nc1cc(Cl)c([N+](=O)[O-])cc1O,1,training
