,Name,smiles,aqsoldb_A
1992,"7-{[(2S,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-{[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy}oxan-2-yl]oxy}-5-hydroxy-2-(4-hydroxyphenyl)-3,4-dihydro-2H-1-benzopyran-4-one",C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]2Oc3cc(O)c4C(=O)C[C@H](Oc4c3)c5ccc(O)cc5)[C@H](O)[C@H](O)[C@H]1O,-2.8936500557500002
1231,"2-methyl-4-phenyl-1,3-dioxolane",CC1OCC(O1)c2ccccc2,-1.805450609
289,"1,2-Dihydro-2,2,4-trimethylquinoline, oligomers",CC1=CC(C)(C)Nc2ccccc12,-5.1876658078
599,1-methyl-1H-imidazole,Cn1ccnc1,1.0856251051
178,"(8R,9S,10R,14S)-13-ethyl-1,2,6,7,8,9,10,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthrene-3,17-dione",CCC12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CCC2=O,-3.7327198893
2783,methyl prop-2-enoate,COC(=O)C=C,-0.1568014574
1558,"3-hydroxy-4-[(E)-2-[2-methoxy-5-(phenylcarbamoyl)phenyl]diazen-1-yl]-N-(2-oxo-2,3-dihydro-1H-1,3-benzodiazol-5-yl)naphthalene-2-carboxamide",COc1ccc(cc1N\N=C2/C(=O)C(=Cc3ccccc23)C(=O)Nc4ccc5NC(=O)Nc5c4)C(=O)Nc6ccccc6,-8.4790833317
1316,"2-phenyl-4,5-dihydro-1H-imidazole",C1C[NH+]=C(N1)c2ccccc2,-1.1265180752
2008,A mixture of RR and RS isomers of: (2-(2-methoxy-1-methyl)ethoxy)-1-methylethyl acetate; (2-(2-methoxy-2-methyl)ethoxy)-1-methylethyl acetate; (2-(2-methoxy-2-methyl)ethoxy)-2-methylethyl acetate; (2-(2-methoxy-1-methyl)ethoxy)-2-methylethyl acetate,CCC(OCCCOC)OC(C)=O,-0.0168484647
727,"2,2-dichloro-1-(3-methyl-2,3-dihydro-1,4-benzoxazin-4-yl)ethanone",CC1COc2ccccc2N1C(=O)C(Cl)Cl,-3.8353901487
881,"2-(2H-1,2,3-benzotriazol-2-yl)-6-{[3-(2H-1,2,3-benzotriazol-2-yl)-2-hydroxy-5-(2,4,4-trimethylpentan-2-yl)phenyl]methyl}-4-(2,4,4-trimethylpentan-2-yl)phenol",CC(C)(C)CC(C)(C)c1cc(Cc2cc(cc(n3nc4ccccc4n3)c2O)C(C)(C)CC(C)(C)C)c(O)c(c1)n5nc6ccccc6n5,-8.5994764432
2096,"N,N-diethylhydroxylamine",CCN(O)CC,0.64776124935
354,"1,3-dichloroprop-1-ene",ClC\C=C/Cl,-1.68139821065
650,"16,23-dihydronaphth[2',3':6,7]indolo[2,3-c]dinaphtho[2,3-a:2'3'-i]carbazole-5,10,15,17,22,24-hexone",O=C1c2ccccc2C(=O)c3c4[nH]c5c6C(=O)c7ccccc7C(=O)c6c8[nH]c9c(ccc%10C(=O)c%11ccccc%11C(=O)c9%10)c8c5c4ccc13,-4.5096151077
1608,3-nitro-N-phenyl-4-(phenylamino)benzene-1-sulfonamide,[O-][N+](=O)c1cc(ccc1Nc2ccccc2)[S](=O)(=O)Nc3ccccc3,-2.8101032137
2715,methane; vanadium,C,-5.4630526301
999,2-[(acetyloxy)methyl]prop-2-en-1-yl acetate,CC(=O)OCC(=C)COC(C)=O,-0.7796166704
2515,diisobutyl phthalate,CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C,-4.3047090187
2480,decyl acetate,CCCCCCCCCCOC(C)=O,-4.9857583021
2471,decahydronaphthalene,C1CCC2CCCCC2C1,-4.48204372232
2978,tri(propan-2-yl)silyl prop-2-enoate,CC(C)[Si](OC(=O)C=C)(C(C)C)C(C)C,-4.9437379631
1359,"2-{3-[(8E)-pentadec-8-en-1-yl]phenoxymethyl}oxirane; 2-{3-[(8E,11E)-pentadeca-8,11,14-trien-1-yl]phenoxymethyl}oxirane; 2-{3-[(8E,11E)-pentadeca-8,11-dien-1-yl]phenoxymethyl}oxirane",CCCCCC/C=C/CCCCCCCc1cccc(OCC2CO2)c1,-6.0798516889
1937,"6,10-dimethylundeca-3,5,9-trien-2-one",CC(C)=CCC\C(C)=C\C=C\C(C)=O,-3.2972120668
2948,tetrabutylstannane,CCCC[Sn](CCCC)(CCCC)CCCC,-5.576268591150001
2013,"Alcohols, C12-13",C,-4.87038541565
322,"1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane; 1,7,7-trimethylbicyclo[2.2.1]heptan-2-one; 2,2-dimethyl-3-methylidenebicyclo[2.2.1]heptane; 2,6,6-trimethylbicyclo[3.1.1]hept-2-ene",CC1=CCC2CC1C2(C)C,-5.4597252961
1537,3-aminophenol,Nc1cccc(O)c1,-0.627355824275
251,"1,1,5-trimethylhept-6-en-1-yl acetate",CC(CCCC(C)(C)OC(C)=O)C=C,-4.0301641261
443,"1,6-dichlorohexane",ClCCCCCCCl,-3.4346473299
1825,4-methyl-4-phenylpentan-2-ol,CC(O)CC(C)(C)c1ccccc1,-2.1472867242
368,"1,3-dimethyl propanedioate",COC(=O)CC(=O)OC,0.0273419683
291,"1,2-bis(2-ethylhexyl) benzene-1,2-dicarboxylate",CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,-7.00690132835
51,"(2E)-1-(2,6,6-trimethylcyclohex-1-en-1-yl)but-2-en-1-one",CC(=C)[C@@H]1C[C@@H](CC[C@@]1(C)C=C)C(C)(C)O,-3.0592783722
449,"1,8-bis(phenylsulfanyl)-9,10-dihydroanthracene-9,10-dione",O=C1c2cccc(Sc3ccccc3)c2C(=O)c4c(Sc5ccccc5)cccc14,-5.5173350431
2779,methyl octanoate,CCCCCCCC(=O)OC,-3.3904331514
2875,pentyl pentanoate,CCCCCOC(=O)CCCC,-3.6244813037
2289,"[4-[(4-diethylaminophenyl)-phenylmethylidene]-1-cyclohexa-2,5-dienylidene]-diethylazanium; hydrogen sulfate",CCN(CC)c1ccc(cc1)[C+](c2ccccc2)c3ccc(cc3)N(CC)CC,-2.0572883439
1502,"3-[(2-isopropyl-5-methylcyclohexyl)oxy]propane-1,2-diol",CC(C)C1CCC(C)CC1OCC(O)CO,-2.0063585886
2472,decan-1-ol,CCCCCCCCCCO,-3.744627669075
869,2-(2-phenoxyethoxy)ethan-1-ol,OCCOCCOc1ccccc1,-0.7165256146
682,"2,2'-[ethylenebis(oxyphenyl-2,1-eneazo)]bis[N-(2,3-dihydro-2-oxo-1H-benzimidazol-5-yl)-3-oxobutyramide",CC(=O)C(N=Nc1ccccc1OCCOc2ccccc2N=NC(C(C)=O)C(=O)Nc3ccc4NC(=O)Nc4c3)C(=O)Nc5ccc6NC(=O)Nc6c5,-7.6344855683
44,(2-aminoethyl)({2-[(2-aminoethyl)amino]ethyl})amine; tris(2-aminoethyl)amine,NCCNCCNCCN,0.5339097655
478,1-(4-methoxyphenyl)-2-[(3-methoxyphenyl)sulfanyl]ethan-1-one,COc1ccc(cc1)C(=O)CSc2cccc(OC)c2,-5.2950533665599995
149,(4-anilino-1-naphthyl){bis[4-(dimethylamino)phenyl]}methanol,CN(C)c1ccc(cc1)C(O)(c2ccc(cc2)N(C)C)c3ccc(Nc4ccccc4)c5ccccc35,-6.9891355524
581,1-ethylpiperidine,CCN1CCCCC1,-1.2757105223
2913,"propane-1,2-diyl bisoctadec-9-enoate",CCCCCCCC\C=C/CCCCCCCC(=O)OCC(C)OC(=O)CCCCCCC\C=C/CCCCCCCC,-4.7817560925
3045,xylenol,Cc1cccc(C)c1O,-1.29849691404
2418,butyl prop-2-enoate,CCCCOC(=O)C=C,-1.9141605312749999
2274,"[1,3(or 1,4)-phenylenebis(1-methylethylidene)]bis[tert-butyl] peroxide",CC(C)(C)OOC(C)(C)c1ccc(cc1)C(C)(C)OOC(C)(C)C,-6.3323174364
867,2-(2-naphthyloxy)ethanol,OCCOc1ccc2ccccc2c1,-2.7142946902
817,"2,5-dimethylphenol",Cc1ccc(C)c(O)c1,-1.56105477305
2589,ethyl (9Z)-hexadec-9-enoate ethyl (9Z)-octadec-9-enoate ethyl hexadecanoate ethyl tetradecanoate,CCCCCCCCCCCCCCCC(=O)OCC,-7.355606283
298,"1,2-bis(propan-2-yl)benzene; 1,3-bis(propan-2-yl)benzene; 1,4-bis(propan-2-yl)benzene",CC(C)c1ccccc1C(C)C,-6.6027992709
102,(2S)-2-amino-3-phenylpropanoic acid,NC(Cc1ccccc1)C(O)=O,-0.80276172385
1025,"2-[3-(heptan-3-yl)-1,2-oxazolidin-2-yl]ethyl N-{6-[({2-[3-(heptan-3-yl)-1,2-oxazolidin-2-yl]ethoxy}carbonyl)amino]hexyl}carbamate",CCCCC(CC)C1CCON1CCOC(=O)NCCCCCCNC(=O)OCCN2OCCC2C(CC)CCCC,-5.7905608237
1995,8-aminonaphthalene-2-sulfonic acid,Nc1cccc2ccc(cc12)[S](O)(=O)=O,-1.682279323
346,"1,3-bis[(9Z)-octadec-9-enoyloxy]propan-2-yl (9Z)-octadec-9-enoate",CCCCCCCC\C=C/CCCCCCCC(=O)OCC(COC(=O)CCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCCC\C=C/CCCCCCCC,-7.2481955094
1565,3-hydroxynaphthalene-2-carboxylic acid,OC(=O)c1cc2ccccc2cc1O,-3.4172455835
1113,2-decyltetradecan-1-ol,CCCCCCCCCCCCC(CO)CCCCCCCCCC,-5.5498158833
2754,methyl 3-methoxypropanoate,COCCC(=O)OC,0.8026937067
184,(E)-(carbamoylimino)urea; (Z)-(carbamoylimino)urea,NC(=O)N=NC(N)=O,-3.5462434596
2688,hexyl dodecanoate,CCCCCCCCCCCC(=O)OCCCCCC,-6.7550878414
1674,4-(2-{4-[2-(3-cyanophenyl)ethenyl]phenyl}ethenyl)benzonitrile,N#Cc1ccc(C=Cc2ccc(cc2)C=Cc3cccc(c3)C#N)cc1,-8.1237288456
370,"1,3-dimethyl-3,7-dihydro-1H-purine-2,6-dione",CN1C(=O)N(C)c2nc[nH]c2C1=O,-1.3695143936999998
314,"1,2-dimethoxyethane",COCCOC,1.0451691789
527,1-[3-(2-oxoazepane-1-carbonyl)benzoyl]azepan-2-one,O=C1CCCCCN1C(=O)c2cccc(c2)C(=O)N3CCCCCC3=O,-3.9583461947
254,"1,1-bis[(2-methylbutan-2-yl)peroxy]cyclohexane",CCC(C)(C)OOC1(CCCCC1)OOC(C)(C)CC,-5.802081935233333
2170,"N-[2-(2-heptadecyl-4,5-dihydro-1H-imidazol-1-yl)ethyl]octadecanamide; N-{2-[(2-octadecanamidoethyl)amino]ethyl}octadecanamide; bis(acetic acid)",CCCCCCCCCCCCCCCCCC(=O)NCCNCCNC(=O)CCCCCCCCCCCCCCCCC,-7.1380824945
2099,"N,N-dimethyl-N'-(2,2,6,6-tetramethylpiperidin-4-yl)propane-1,3-diamine",CN(C)CCCNC1CC(C)(C)NC(C)(C)C1,0.316191362
1977,"6H-dibenzo[c,e][1,2]oxaphosphinine 6-oxide",O=[P+]1Oc2ccccc2c3ccccc13,-1.7796231349
2069,Indanthrene,O=C1c2ccccc2C(=O)c3c4Nc5ccc6C(=O)c7ccccc7C(=O)c6c5Nc4ccc13,-7.9468745633
1263,2-methylheptyl 3-sulfanylpropanoate,CC(C)CCCCCOC(=O)CCS,-4.4543816995
932,2-(piperazin-1-yl)ethan-1-amine,NCCN1CCNCC1,-0.1112860429
1044,"2-amino-3,5-dimethylbenzene-1-sulfonic acid",Cc1cc(C)c(N)c(c1)[S](O)(=O)=O,-1.8195435039
52,"(2E)-1-(2,6,6-trimethylcyclohex-2-en-1-yl)but-2-en-1-one",C/C=C/C(=O)C1C(=CCCC1(C)C)C,-3.1378557654
2123,"N-(2,5-dichloro-4-{4-[(E)-2-(2,5-dichlorophenyl)diazen-1-yl]-3-hydroxynaphthalene-2-amido}phenyl)-4-[(E)-2-(2,5-dichlorophenyl)diazen-1-yl]-3-hydroxynaphthalene-2-carboxamide",Clc1ccc(Cl)c(N\N=C2/C(=O)C(=Cc3ccccc23)C(=O)Nc4cc(Cl)c(NC(=O)C5=Cc6ccccc6C(=N/Nc7cc(Cl)ccc7Cl)\C5=O)cc4Cl)c1,-8.1508681249
139,"(3R,3aR,6S,6aR)-3,6-dimethoxy-hexahydrofuro[3,2-b]furan",COC1COC2C(COC12)OC,1.0599918174
759,"2,3-dihydro-1H-isoindole-1,3-dione",O=C1NC(=O)c2ccccc12,-3.10545797775
2550,docosan-1-ol,CCCCCCCCCCCCCCCCCCCCCCO,-5.5140281479
463,1-(2-furyl)methanamine,NCc1occc1,1.0127047417
3037,urea,NC(N)=O,0.9872341431
679,"2,2'-[(3,3'-dichlorobiphenyl-4,4'-diyl)didiazene-2,1-diyl]bis[N-(4-ethoxyphenyl)-3-oxobutanamide]",CCOc1ccc(NC(=O)C(N=Nc2ccc(cc2Cl)c3ccc(N=NC(C(C)=O)C(=O)Nc4ccc(OCC)cc4)c(Cl)c3)C(C)=O)cc1,-7.8305826168
134,"(3E)-3-methyl-4-(2,6,6-trimethylcyclohex-2-en-1-yl)but-3-en-2-one",CC(=O)C(\C)=C/C1C(=CCCC1(C)C)C,-4.05139063465
1337,2-sulfanylacetic acid,OC(=O)CS,-1.9643492148
2104,"N,N-dimethyldecan-1-amine",CCCCCCCCCCN(C)C,-3.8502541418
2174,N-[3-(dimethylamino)propyl]formamide,CN(C)CCCNC=O,0.8854190372
1614,"3-oxo-N-(2-oxo-2,3-dihydro-1H-1,3-benzodiazol-5-yl)butanamide",CC(=O)CC(=O)Nc1ccc2NC(=O)Nc2c1,-2.522680786
2941,tert-butyl 2-methylpropaneperoxoate,CC(C)C(=O)OOC(C)(C)C,-1.6070025668
0,"(1,1-dimethylpropyl)benzene",CCC(C)(C)c1ccccc1,-4.5007459195
1583,3-methyl-7-propan-2-ylbicyclo[2.2.2]oct-3-ene-6-carbaldehyde,CC(C)C1CC2=C(C)CC1C(C2)C=O,-3.8508542835
2573,ethanedioyl dichloride,ClC(=O)C(Cl)=O,0.8964494063
2045,"Decanoic acid, mixed esters with octanoic acid and pentaerythritol",CCCCCCCCCC(O)=O,-6.9567723715
567,1-chlorobutane,CCCCCl,-2.925072887
2725,"methyl (9E,12E,15E)-octadeca-9,12,15-trienoate methyl (9Z)-octadec-9-enoate methyl (9Z,12Z)-octadeca-9,12-dienoate methyl hexadecanoate methyl octadecanoate",CCCCCCCCCCCCCCCCCC(=O)OC,-7.8003598993
2126,"N-(2,6-dimethylphenyl)-2-piperazine-1,4-diium-1-ylacetamide",Cc1cccc(C)c1NC(=O)C[NH+]2CC[NH2+]CC2,0.4432827885
1832,4-methylbenzoyl 4-methylbenzene-1-carboperoxoate,Cc1ccc(cc1)C(=O)OOC(=O)c2ccc(C)cc2,-6.798351882
266,"1,10-didocosyl decanedioate",CCCCCCCCCCCCCCCCCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCCCCCCCCCCCCCCCCC,-6.405660228
240,"1,1,2,2,3,3,4,4-octafluoro-1,4-diiodobutane",FC(F)(I)C(F)(F)C(F)(F)C(F)(F)I,-3.314476262
411,"1,4-dichlorobenzene",Clc1ccc(Cl)cc1,-3.34737115775
174,(6-aminohexyl)carbamic acid,NCCCCCCNC(O)=O,-0.0952988049
1053,2-amino-4-sulfobenzoic acid,Nc1cc(ccc1C(O)=O)[S](O)(=O)=O,-1.3156745209
32,"(1S,3R,5R,6S,8R,10R,11S,13R,15R,16S,18R,20R,21S,23R,25R,26S,28R,30R,31S,33R,35R,36S,38R,40R,41R,42R,43R,44R,45R,46R,47R,48R,49R,50R,51R,52R,53R,54R,55R,56R)-5,10,15,20,25,30,35,40-octakis(hydroxymethyl)-2,4,7,9,12,14,17,19,22,24,27,29,32,34,37,39-hexadecaoxanonacyclo[36.2.2.2Â³,?.2?,Â¹Â¹.2Â¹Â³,Â¹?.2Â¹?,Â²Â¹.2Â²Â³,Â²?.2Â²?,Â³Â¹.2Â³Â³,Â³?]hexapentacontane-41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56-hexadecol",OCC1OC2OC3C(O)C(O)C(OC3CO)OC4C(O)C(O)C(OC4CO)OC5C(O)C(O)C(OC5CO)OC6C(O)C(O)C(OC6CO)OC7C(O)C(O)C(OC7CO)OC8C(O)C(O)C(OC8CO)OC9C(O)C(O)C(OC9CO)OC1C(O)C2O,-0.8574691214
2637,ethyl prop-2-enoate,CCOC(=O)C=C,-0.7619472002000001
2467,cyclopropanamine,NC1CC1,1.2433943163
14,"(1R,2R,4R)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-yl acetate (1S,2S,4S)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-yl acetate",CC(=O)O[C@H]1C[C@H]2CC[C@@]1(C)C2(C)C,-3.0887781924
93,"(2R,3R,4R,5S)-6-(methylamino)hexane-1,2,3,4,5-pentol",CNCC(O)C(O)C(O)C(O)CO,0.7094868149
568,1-chlorohexane,CCCCCCCl,-2.8944227554
1340,"2-tert-butyl-4,6-dimethylphenol",Cc1cc(C)c(O)c(c1)C(C)(C)C,-3.1719091991
188,(E)-N-(5-methylheptan-3-ylidene)hydroxylamine,CCC(C)C\C(CC)=N\O,-2.1307281267
857,2-(2-ethoxyethoxy)-2-methylpropane,CCOCCOC(C)(C)C,-0.6423749906
256,"1,1-diethoxy-3,7-dimethylocta-2,6-diene",CCOC(OCC)\C=C(C)\CCC=C(C)C,-2.3547996853
2629,ethyl [(4-methylphenyl)sulfonyl]carbamate,CCOC(=O)N[S](=O)(=O)c1ccc(C)cc1,-2.2430987475
1849,"4-tert-butylbenzene-1,2-diol",CC(C)(C)c1ccc(O)c(O)c1,-1.5974339876
2596,ethyl 2-[di(phenyl)methylideneamino]acetate,CCOC(=O)CN=C(c1ccccc1)c2ccccc2,-3.4270444492
1429,"3,7-dimethyloct-6-en-1-yl acetate",CC(CCOC(C)=O)CCC=C(C)C,-4.0959387302
485,"1-(6-tert-butyl-1,1-dimethyl-2,3-dihydro-1H-inden-4-yl)ethan-1-one",CC(=O)c1cc(cc2c1CCC2(C)C)C(C)(C)C,-4.8708662082
331,"1,3,5-trioxane",C1OCOCO1,0.34076351936666666
2807,oct-7-en-1-ol,OCCCCCCC=C,-1.7340835324
1572,"3-methyl-1-({3-[(3-methyl-2,5-dioxo-2,5-dihydro-1H-pyrrol-1-yl)methyl]phenyl}methyl)-2,5-dihydro-1H-pyrrole-2,5-dione",CC1=CC(=O)N(Cc2cccc(CN3C(=O)C=C(C)C3=O)c2)C1=O,-3.90086787015
2618,ethyl 3-oxobutanoate,CCOC(=O)CC(C)=O,0.000523602
1465,"3-(4-chlorophenoxy)propane-1,2-diol",OCC(O)COc1ccc(Cl)cc1,1.4313479676
1765,"4-benzoylbenzene-1,2,3-triol",Oc1ccc(c(O)c1O)C(=O)c2ccccc2,-3.3451078238
144,(3Z)-hex-3-en-1-yl 2-methylpropanoate,CC\C=C/CCOC(=O)C(C)C,-3.1741873711
2295,acetic acid,CC(O)=O,1.0017178079
1985,"7-fluoro-1,3-dihydroindol-2-one",Fc1cccc2CC(=O)Nc12,-2.2251369084
2323,"benzene-1,3-diamine",Nc1cccc(N)c1,0.5984548631
2189,N-ethylaniline,CCNc1ccccc1,-1.6767512963
842,"2,6-dimethyloct-7-en-2-ol",CC(CCCC(C)(C)O)C=C,-2.2212072407
1801,4-hydroxy-3-methoxybenzaldehyde,COc1cc(C=O)ccc1O,-1.2280265929
1298,2-methylundecanal,CCCCCCCCCC(C)C=O,-5.151636178
2154,N-(4-fluorophenyl)-2-hydroxy-N-propan-2-ylacetamide,CC(C)N(C(=O)CO)c1ccc(F)cc1,-1.1786398993
2772,methyl hydroxymethoxyacetate,COC(=O)COCO,0.9204425284
3053,"{[(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy}phosphonic acid",Nc1ncnc2n(cnc12)C3OC(CO[P](O)(O)=O)C(O)C3O,-1.9953026194
2614,ethyl 3-[(diisopropoxyphosphorothioyl)sulfanyl]propanoate,CCOC(=O)CCS[P](=S)(OC(C)C)OC(C)C,-4.2747784981
1377,"3,10,17,24-tetraazaoctacyclo[13.13.2.0Â²,Â¹?.0?,?.0Â¹Â²,Â²?.0Â¹?,Â²?.0Â¹?,Â²Â³.0Â²?,Â³?]triaconta-1(28),2,4(9),5,7,12,14,18(23),19,21,24,26,29-tridecaene-11,16-dione",O=C1n2c3ccccc3nc2c4ccc5c6nc7ccccc7n6C(=O)c8ccc1c4c58,-7.7579945848
1027,2-[4-(2-hydroxyethoxy)phenoxy]ethan-1-ol,OCCOc1ccc(OCCO)cc1,-1.1798717942
1596,3-methylbutyl 3-methylbutanoate,CC(C)CCOC(=O)CC(C)C,-3.5540595353
776,"2,4,6-trichloroaniline",Nc1c(Cl)cc(Cl)cc1Cl,-3.6902203216
432,"1,5-dimethyl pentanedioate",COC(=O)CCCC(=O)OC,-0.4045491049
1545,"3-ethoxy-1,1,1,2,3,4,4,5,5,6,6,6-dodecafluoro-2-(trifluoromethyl)hexane",CCOC(F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,-7.3909979983500005
944,"2-Butenedioic acid (E)-, di-C12-18-alkyl esters",CCCCCCCCCCCCCCCOC(=O)/C=C/C(=O)OCCCCCCCCCCCCCCC,-6.5537875846
2641,ethylbis(propan-2-yl)amine,CCN(C(C)C)C(C)C,-1.1674410190666666
2498,dichlorane,ClCl,-1.0299801419499999
1090,2-butyloctan-1-ol,CCCCCCC(CO)CCCC,-5.2703037605
1839,"4-naphthalen-2-yl-1,3-thiazol-2-amine",Nc1scc(n1)c2ccc3ccccc3c2,-4.849542252
964,2-[(2-methylprop-2-enoyl)oxy]ethyl 3-oxobutanoate,CC(=O)CC(=O)OCCOC(=O)C(C)=C,-1.0636822045
506,"1-N,4-N-bis(5-methylhexan-2-yl)benzene-1,4-diamine",CC(C)CCC(C)Nc1ccc(NC(C)CCC(C)C)cc1,-4.868266516649999
439,"1,6-bis(7-methyloctyl) hexanedioate",CC(C)CCCCCCOC(=O)CCCCC(=O)OCCCCCCC(C)C,-6.1005678007
1260,2-methylheptadecyl 3-methylheptadecanoate,CC(C)CCCCCCCCCCCCCCCOC(=O)CCCCCCCCCCCCCCC(C)C,-7.0864973463
1607,3-nitro-2H-pyrazole,[O-][N+](=O)c1[nH]ncc1,-1.2854728211
1488,3-(trifluoromethyl)aniline,Nc1cccc(c1)C(F)(F)F,-1.5347054137666667
2360,"bis(2-chloroethyl) 3,3'-[(2,5-dimethyl-p-phenylene)bis[iminocarbonyl(2-hydroxy-1,3-naphthylene)azo]]di-p-toluate",Cc1ccc(cc1N\N=C2\C(=O)C(=Cc3ccccc23)C(=O)Nc4cc(C)c(NC(=O)C5=Cc6ccccc6C(=N/Nc7c(C)cccc7C(=O)OCCCl)/C5=O)cc4C)C(=O)OCCCl,-7.8142410285
789,"2,4-dichlorobenzoyl 2,4-dichlorobenzene-1-carboperoxoate",Clc1ccc(c(Cl)c1)C(=O)OOC(=O)c2ccc(Cl)cc2Cl,-8.2787650296
1660,"4-(2,3,4-trihydroxybenzoyl)phenyl 5-oxo-6-[(1E)-tetraaza-1,3-dien-1-yl]-5,8-dihydronaphthalene-1-sulfonate",Oc1ccc(c(O)c1O)C(=O)c2ccc(O[S](=O)(=O)c3cccc4C(=O)C(=CCc34)N=NN=N)cc2,-5.1052907305
2763,methyl 4-tert-butylbenzoate,COC(=O)c1ccc(cc1)C(C)(C)C,-3.7398163758
45,(2-aminoethyl)[2-({2-[(2-aminoethyl)amino]ethyl}amino)ethyl]amine; bis(2-aminoethyl)({2-[(2-aminoethyl)amino]ethyl})amine,NCCNCCNCCNCCN,0.4218033312
2171,"N-[3-(8-methylnonoxy)propyl]propane-1,3-diamine",CC(C)CCCCCCCOCCCNCCCN,-3.2048809276
203,(ethoxymethoxy)cyclododecane,CCOCOC1CCCCCCCCCCC1,-5.3353199677
211,"(phosphonooxy)phosphonic acid; 1,3,5-triazine-2,4,6-triamine",Nc1nc(N)nc(N)n1,-2.9089794399
2496,dibutyltin dilaurate,CCCCCCCCCCCC([O-])=O,-5.6450861427
2500,dichloromethane,ClCCl,-0.8085025333
3038,valeraldehyde,CCCCC=O,-0.6775026694499999
