,Name,SMILES,Solubility
64,"(2E)-3-(3,4,5-trimethoxyphenyl)prop-2-enoic acid",COc1cc(\C=C\C(O)=O)cc(OC)c1OC,-2.830470194
65,(2E)-3-phenylprop-2-enal,O=C/C=C/c1ccccc1,-1.9505458005999998
66,(2E)-3-phenylprop-2-enenitrile,N#C/C=C/c1ccccc1,-2.0829703418
67,(2E)-but-2-enal,C\C=C/C=O,0.4120163187
68,(2E)-but-2-ene,C\C=C\C,-1.9394650737
69,(2E)-but-2-ene; (2Z)-but-2-ene; but-1-ene,CCC=C,-2.4026718139
70,(2E)-but-2-enedioic acid,OC(=O)\C=C\C(O)=O,-1.2196294277
71,(2E)-but-2-enoic acid,C/C=C/C(O)=O,0.0381751458
72,"(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohex-1-en-1-yl)nona-2,4,6,8-tetraen-1-yl hexadecanoate",CCCCCCCCCCCCCCCC(=O)OC/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C,-5.7200550602
73,"(2E,6E)-3,7-dimethylnona-2,6-dienenitrile",CC/C(C)=C/CC/C(C)=C/C#N,-3.5896411422
74,"(2E,7R,11R)-3,7,11,15-tetramethylhexadec-2-en-1-ol; (2Z,7R,11R)-3,7,11,15-tetramethylhexadec-2-en-1-ol",CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC/C(C)=C/CO,-4.8617411072
75,(2H)chloroform,ClC(Cl)(Cl)[2H],-1.417811305
76,"(2R)-2,4-dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutanamide",CC(C)(CO)[C@@H](O)C(=O)NCCCO,0.3944261529
77,"(2R)-2,5,7,8-tetramethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-3,4-dihydro-2H-1-benzopyran-6-ol",CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCc2c(C)c(O)c(C)c(C)c2O1,-8.520248661
78,"(2R)-2,5,7,8-tetramethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-3,4-dihydro-2H-1-benzopyran-6-ol; (2R)-2,5,8-trimethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-3,4-dihydro-2H-1-benzopyran-6-ol; (2R)-2,7,8-trimethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-3,4-dihydro-2H-1-benzopyran-6-ol; (2R)-2,8-dimethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-3,4-dihydro-2H-1-benzopyran-6-ol",CC(C)CCCC(C)CCCC(C)CCCC1(C)CCc2cc(O)c(C)c(C)c2O1,-8.5058697258
79,(2R)-2-(2-chlorophenyl)-2-hydroxyacetic acid,O[C@@H](C(O)=O)c1ccccc1Cl,-0.4390279005
80,"(2R)-2-[(2R,3R,4S)-3,4-bis(octadecanoyloxy)oxolan-2-yl]-2-hydroxyethyl octadecanoate (2R)-2-[(2R,3R,4S)-3,4-dihydroxyoxolan-2-yl]-2-hydroxyethyl octadecanoate (2R)-2-hydroxy-2-[(2R,3R,4S)-3-hydroxy-4-(octadecanoyloxy)oxolan-2-yl]ethyl (9Z)-octadec-9-enoate",CCCCCCCCCCCCCCCCCC(=O)OCC(OC(=O)CCCCCCCCCCCCCCCCC)[C@H]1OC[C@@H](O)[C@@H]1OC(=O)CCCCCCCCCCCCCCCCC,-7.2849105615
81,"(2R)-2-[(2R,3R,4S)-3,4-dihydroxyoxolan-2-yl]-2-hydroxyethyl dodecanoate",CCCCCCCCCCCC(=O)OCC(O)[C@H]1OC[C@@H](O)[C@@H]1O,-5.0625368604
82,"(2R)-2-[(2R,3R,4S)-3,4-dihydroxyoxolan-2-yl]-2-hydroxyethyl hexadecanoate",CCCCCCCCCCCCCCCC(=O)OCC(O)[C@H]1OC[C@@H](O)[C@@H]1O,-6.9058735609
83,(2R)-2-[4-[5-(trifluoromethyl)pyridin-2-yl]oxyphenoxy]propanoic acid,C[C@@H](Oc1ccc(Oc2ccc(cn2)C(F)(F)F)cc1)C(O)=O,-2.10930392435
84,(2R)-2-ethylhexyl (2E)-3-(4-methoxyphenyl)prop-2-enoate (2S)-2-ethylhexyl (2E)-3-(4-methoxyphenyl)prop-2-enoate,CCCC[C@H](CC)COC(=O)/C=C/c1ccc(OC)cc1,-6.78642782545
85,(2R)-2-hydroxy-N-(2-hydroxyethyl)propanamide,CC(O)C(=O)NCCO,1.3070323786
86,(2R)-2-methyloxirane,C[C@@H]1CO1,0.8380333836
87,"(2R)-5-amino-2-(dibenzylamino)-1,6-diphenylhex-4-en-3-one",NC(Cc1ccccc1)=CC(=O)[C@@H](Cc2ccccc2)N(Cc3ccccc3)Cc4ccccc4,-7.6633437338
88,"(2R)-6-fluoro-2-[(2R)-oxiran-2-yl]-3,4-dihydro-2H-1-benzopyran; (2R)-6-fluoro-2-[(2S)-oxiran-2-yl]-3,4-dihydro-2H-1-benzopyran; (2S)-6-fluoro-2-[(2R)-oxiran-2-yl]-3,4-dihydro-2H-1-benzopyran; (2S)-6-fluoro-2-[(2S)-oxiran-2-yl]-3,4-dihydro-2H-1-benzopyran",Fc1ccc2O[C@@H](CCc2c1)[C@@H]3CO3,-3.0521011765
89,(2R)-heptan-2-yl 2-[(5-chloroquinolin-8-yl)oxy]acetate (2S)-heptan-2-yl 2-[(5-chloroquinolin-8-yl)oxy]acetate,CCCCCC(C)OC(=O)COc1ccc(Cl)c2cccnc12,-5.787747062699999
90,"(2R,3R)-2,3-dihydroxybutanedioic acid",OC(C(O)C(O)=O)C(O)=O,0.4497431261875
91,"(2R,3R,4R,5R)-hexane-1,2,3,4,5,6-hexol; (2S,3S,4S,5S,6R)-6-{[(2S,3S,4R,5S,6R)-2-carboxy-4,5,6-trihydroxyoxan-3-yl]oxy}-3,4,5-trihydroxyoxane-2-carboxylic acid; [(2S,3R,4R,5S,6S)-3-hydroxy-6-{[(2S,3R,4R,5S,6S)-3-hydroxy-6-{[(2S,3R,4R,5S,6S)-6-{[(2S,3R,4R,5S,6S)-3-hydroxy-6-{[(2S,3R,4R,5S,6R)-6-hydroxy-2-methyl-4,5-bis(sulfooxy)oxan-3-yl]oxy}-2-methyl-5-(sulfooxy)oxan-4-yl]oxy}-2-methyl-4,5-bis(sulfooxy)oxan-3-yl]oxy}-2-methyl-5-(sulfooxy)oxan-4-yl]oxy}-2-methyl-5-(sulfooxy)oxan-4-yl]oxidanesulfonic acid",C[C@@H]1O[C@@H](O[C@@H]2[C@H](C)O[C@@H](O)[C@@H](O[S](O)(=O)=O)[C@@H]2O[S](O)(=O)=O)[C@@H](O[S](O)(=O)=O)[C@H](O[C@@H]3O[C@@H](C)[C@@H](O[C@@H]4O[C@@H](C)[C@@H](O)[C@@H](O[C@@H]5O[C@@H](C)[C@@H](O)[C@@H](O[S](O)(=O)=O)[C@@H]5O[S](O)(=O)=O)[C@@H]4O[S](O)(=O)=O)[C@@H](O[S](O)(=O)=O)[C@@H]3O[S](O)(=O)=O)[C@@H]1O,-0.5892058636
92,"(2R,3R,4R,5S)-2-(hydroxymethyl)piperidine-3,4,5-triol",OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,0.4027727832
93,"(2R,3R,4R,5S)-6-(methylamino)hexane-1,2,3,4,5-pentol",CNCC(O)C(O)C(O)C(O)CO,0.7094868149
94,"(2R,3R,4S,5R)-2-(6-amino-9H-purin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol",Nc1ncnc2n(cnc12)C3OC(CO)C(O)C3O,-1.8109595369
95,"(2R,3R,4S,5R)-2-(6-hydroxy-9H-purin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol",OCC1OC(C(O)C1O)n2cnc3C(=O)N=CNc23,-1.2298486435
96,"(2R,5S)-5-methyl-2-(propan-2-yl)cyclohexan-1-one",CC(C)C1CCC(C)CC1=O,-2.350645181
97,"(2S)-2-(1,3-dioxoisoindol-2-yl)pentanedioic acid",OC(=O)CC[C@H](N1C(=O)c2ccccc2C1=O)C(O)=O,-1.4463316859
98,(2S)-2-amino-3-hydroxybutanoic acid,CC(O)C(N)C(O)=O,-0.1430038628
99,(2S)-2-amino-3-hydroxypropanoic acid,NC(CO)C(O)=O,0.239830357
100,(2S)-2-amino-3-methylbutanoic acid,CC(C)C(N)C(O)=O,-0.1217916078
101,(2S)-2-amino-3-methylpentanoic acid,CC[C@H](C)[C@H](N)C(O)=O,-0.5446630063
102,(2S)-2-amino-3-phenylpropanoic acid,NC(Cc1ccccc1)C(O)=O,-0.80276172385
103,(2S)-2-amino-4-(methylsulfanyl)butanoic acid,CSCCC(N)C(O)=O,-0.4209960521
104,(2S)-2-amino-4-carbamoylbutanoic acid,N[C@@H](CCC(N)=O)C(O)=O,-0.5800934512
105,(2S)-2-amino-4-methylpentanoic acid,CC(C)CC(N)C(O)=O,-0.7561232369
106,(2S)-2-amino-6-octanamidohexanoic acid,CCCCCCCC(=O)NCCCC[C@H](N)C(O)=O,0.0575708237
107,(2S)-2-aminopentanedioic acid; 2-(bis(2-hydroxyethyl)amino)ethanol,N[C@@H](CCC(O)=O)C(O)=O,0.111437809
108,(2S)-2-aminopropanoic acid,CC(N)C(O)=O,0.2697321979
109,(2S)-2-hydroxy-3-(phenylamino)propane-1-sulfonate,O[C@@H](CNc1ccccc1)C[S]([O-])(=O)=O,0.1187844902
110,(2S)-2-{[(benzyloxy)carbonyl]amino}-2-cyclohexylacetic acid,OC(=O)[C@@H](NC(=O)OCc1ccccc1)C2CCCCC2,-3.2854336032
111,(2S)-3-methyl-2-[pentanoyl-[[4-[2-(2H-tetrazol-5-yl)phenyl]phenyl]methyl]amino]butanoic acid,CCCCC(=O)N(Cc1ccc(cc1)c2ccccc2c3n[nH]nn3)[C@@H](C(C)C)C(O)=O,-2.7359260939
112,(2S)-4-hydroxypyrrolidine-2-carboxylic acid,OC1CNC(C1)C(O)=O,0.4399221153
113,(2S)-5-amino-2-[(2-aminoacetyl)amino]-5-oxopentanoic acid,NC(=O)CC[C@H](NC(=O)C[NH3+])C([O-])=O,-0.194310278
114,(2S)-pyrrolidine-2-carboxylic acid,OC(=O)C1CCCN1,1.13872730735
115,"(2S,4R)-1-acetyl-4-hydroxypyrrolidine-2-carboxylic acid",CC(=O)N1C[C@@H](O)C[C@H]1C([O-])=O,0.3449927217
116,"(2S,4S)-4-cyclohexylpyrrolidine-2-carboxylic acid hydrochloride",Cl,0.631268384
117,"(2S,5R)-5-methyl-2-(propan-2-yl)cyclohexan-1-one",CC(C)[C@@H]1CC[C@@H](C)CC1=O,-2.5513315931333334
118,"(2S,5R)-6-amino-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",CC1(C)S[C@@H]2[C@H](N)C(=O)N2[C@H]1C(O)=O,-1.9440451079
119,(2Z)-4-butoxy-4-oxobut-2-enoic acid,CCCCOC(=O)\C=C/C(O)=O,-0.6677809794
120,(2Z)-4-{2-[2-(2-{[(2Z)-3-carboxyprop-2-enoyl]oxy}ethoxy)ethoxy]ethoxy}-4-oxobut-2-enoic acid,OC(=O)\C=C/C(=O)OCCOCCOCCOC(=O)\C=C/C(O)=O,0.1595325622
121,"(2Z)-but-2-ene-1,4-diol",OC\C=C/CO,0.8466851642
122,(2Z)-but-2-enedioic acid,OC(=O)\C=C\C(O)=O,0.6640307884333333
123,"(3,4-dihydroxyphenyl)-phenylmethanone",Oc1ccc(cc1O)C(=O)c2ccccc2,-2.9226200497
124,(3-aminopropyl)[(9Z)-octadec-9-en-1-yl]amine; bis((9Z)-octadec-9-enoic acid),CCCCCCCC\C=C/CCCCCCCCNCCCN,-8.2501920599
125,(3-aminopropyl)dimethylamine,CN(C)CCCN,0.9906298514
126,(3-chloropropyl)triethoxysilane,CCO[Si](CCCCl)(OCC)OCC,-3.3285834497
127,(3-dodecanamidopropyl)trimethylazanium methyl sulfate,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)C,-0.011381165
128,(3-isocyanatopropyl)trimethoxysilane,CO[Si](CCCN=C=O)(OC)OC,-3.2569810012
129,(3-methoxy-3-methylbutyl) acetate,COC(C)(C)CCOC(C)=O,-0.4390291979
130,(3-phenoxyphenyl)methanol,OCc1cccc(Oc2ccccc2)c1,-2.78418655625
131,"(3-{3,5-bis[3-(dimethylamino)propyl]-1,3,5-triazinan-1-yl}propyl)dimethylamine",CN(C)CCCN1CN(CCCN(C)C)CN(CCCN(C)C)C1,0.1642130702
132,(3-{[3-(dimethylamino)propyl]amino}propyl)dimethylamine,CN(C)CCCNCCCN(C)C,0.51212769795
133,"(3E)-3,7-dimethylocta-1,3,6-triene",CC(C)=CC\C=C(/C)C=C,-3.9729302572
134,"(3E)-3-methyl-4-(2,6,6-trimethylcyclohex-2-en-1-yl)but-3-en-2-one",CC(=O)C(\C)=C/C1C(=CCCC1(C)C)C,-4.05139063465
135,"(3E)-4-(2,5,6,6-tetramethylcyclohex-2-en-1-yl)but-3-en-2-one",C[C@@H]1CC=C(C)[C@H](\C=C\C(C)=O)C1(C)C,-3.8026769123
136,"(3E)-4-(2,6,6-trimethylcyclohex-2-en-1-yl)but-3-en-2-one",CC(=O)/C=C/C1C(=CCCC1(C)C)C,-2.97030087275
137,(3E)-4-methyldec-3-en-5-ol,CCCCCC(O)C(/C)=C/CC,-3.4318638977
138,"(3E)-penta-1,3-diene; (3Z)-penta-1,3-diene; cyclopentene",C\C=C/C=C,-2.7318122986
139,"(3R,3aR,6S,6aR)-3,6-dimethoxy-hexahydrofuro[3,2-b]furan",COC1COC2C(COC12)OC,1.0599918174
140,"(3S)-3-hydroxy-4,4-dimethyloxolan-2-one",CC1(C)COC(=O)C1O,0.6515307225
141,"(3S,4aS,8aR)-N-tert-butyl-3,4,4a,5,6,7,8,8a-octahydro-1H-isoquinolin-2-ium-3-carboxamide",CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@H]2C[NH2+]1,-2.1616093611
142,(3Z)-hex-3-en-1-ol,CC\C=C/CCO,-0.7504980733
143,(3Z)-hex-3-en-1-yl 2-hydroxybenzoate,CC/C=C/CCOC(=O)c1ccccc1O,-4.6439814041
144,(3Z)-hex-3-en-1-yl 2-methylpropanoate,CC\C=C/CCOC(=O)C(C)C,-3.1741873711
145,(3Z)-hex-3-en-1-yl acetate,CC\C=C/CCOC(C)=O,-2.1037447199
146,(3Z)-hex-3-en-1-yl benzoate,CC\C=C/CCOC(=O)c1ccccc1,-3.7048974167
147,(3Z)-hex-3-en-1-yl methyl carbonate,CC/C=C/CCOC(=O)OC,-3.0698306477
148,"(3aR,5aS,9aS,9bR)-3a,6,6,9a-tetramethyl-dodecahydronaphtho[2,1-b]furan",CC1(C)CCC[C@@]2(C)[C@H]1CC[C@@]3(C)OCC[C@H]23,-4.840370865700001
149,(4-anilino-1-naphthyl){bis[4-(dimethylamino)phenyl]}methanol,CN(C)c1ccc(cc1)C(O)(c2ccc(cc2)N(C)C)c3ccc(Nc4ccccc4)c5ccccc35,-6.9891355524
